CategoryName,ItemName,Qty,SubTotal
"Mie Begal","Level 0 Cemen",9,90000
"Mie Begal","Level 1 Coro",5,50000
"Mie Begal","Level 4 Gembong",1,10000
"Mie Kering","Black Papper",1,11000
"Mie Kering","Level 0 Salah Tangkap",17,170000
"Mie Kering","Level 1 Masa Percobaan",26,260000
"Mie Kering","Level 2 Tahanan Rumah",12,120000
"Mie Kering","Level 3 Cambuk",8,80000
"Mie Kering","Level 4 Seumur Hidup",4,40000
"Mie Kering","Level 5 Hukuman Mati",2,20000
"Mie Kering","Mie Karee",3,33000
"Mie Kering","Mie Rampok Promo",4,0
"Mie Kering","Mie Rendang",7,77000
Minuman,"Air Mineral",10,40000
Minuman,"Es Bajak Laut",4,40000
Minuman,"Es Begal Cocopandan Squash",2,20000
Minuman,"Es Copet Jelly",5,50000
Minuman,"Es Gangster Cola Float",4,40000
Minuman,"Es Hacker Straw Float",1,10000
Minuman,"Es Jambret Strawberry Milkshake",9,90000
Minuman,"Es Koruptor Melon Squash",1,10000
Minuman,"Es Mafia Orange Squash",2,20000
Minuman,"Es Maling",19,190000
Minuman,"Es Preman Red Velvet Milkshake",2,20000
Minuman,"Es Teh Jumbo",29,145000
Minuman,"Es Togel Vanilla Milkshake",9,90000
"Nasi Goreng","Nasgor Level1",2,20000
"Nasi Goreng","Nasi Goreng",4,40000
Topping,"Box Take Away",23,23000
Topping,Dimsum,32,320000
Topping,"Toping Goreng",16,64000
